sound,pronunciation,native,language,meaning
GOOD,xEmth~HvEva,შემთხვევა,georgian,accident/chance
gg,hi#gg,ህግ,amharic,a law
GOOD,t!i#bUb,ጥበብ,amharic,ability/skill
GOOD,ruttx!a,ሩጫ,amharic,act of running
GOOD,t!Ukur,ጥቁር,amharic,black
GOOD,t!ub,ጡብ,amharic,brick/tile
GOOD,di#mmUt,ድመት,amharic,cat
GOOD,mi#rtx!a,ምርጫ,amharic,choice/option
GOOD,t!at,ጣት,amharic,finger
GOOD,gw~addUnny~a,ጓደኛ,amharic,friend
GOOD,t!ena,ጤና,amharic,health
k!,k!i#^t!i#l,ቅጠል,amharic,leaf
GOOD,txy~UrUk!a,ጨረቃ,amharic,moon
GOOD,tx!Uw,ጨው,amharic,salt
GOOD,tx!i#nk!i#llat,ጭንቅላት,amharic,skull
GOOD,tx!i#s,ጭስ,amharic,smoke
O,kObob,ኮኮብ,amharic,star
GOOD,ts!Uhay,ፀሐይ,amharic,sun
GOOD,bUt!a^t!is,በጣጢስ,amharic,sweet potato
GOOD,t!UrU^pp!eza,ጠረጴዛ,amharic,table
GOOD,yi#hi#ttx,ይህች,amharic,this
GOOD,t!Utt!a,ጠጣ,amharic,to drink
i#,muxi#rra,ሙሽራ,amharic,wedder
GOOD,bi#tx!a,ብጫ,amharic,yellow
GOOD,ph~I_txI,piishi,apache (western),(bird) swallow
GOOD,txI-txI-l,chíchʼil,apache (western),acorn
GOOD,ntE+,ndé,apache (western),apache
GOOD,mE&',méʼ,apache (western),baby
GOOD,ntxo&',nchǫʼ,apache (western),bad
GOOD,Isa+SIkh~aI,isáłigai,apache (western),bald eagle
GOOD,djo_SE+,joołé,apache (western),ball
GOOD,yo_,yoo,apache (western),bead
GOOD,xax,shash,apache (western),bear
GOOD,txh~a_,chaa,apache (western),beaver
GOOD,kosnIH,gosnih,apache (western),bee/honey
GOOD,IGa+l,ighál,apache (western),bells
GOOD,pI-k,big,apache (western),belly
GOOD,HItla&_HI+,hidląąhí,apache (western),beverage
GOOD,ntxa+_,nchaa,apache (western),big/large
GOOD,tSo&+',dlǫ́ʼ,apache (western),bird
GOOD,kozlI&_yE,gozlįįye,apache (western),birthplace
GOOD,tI-ShI-S,dɪ̀ɬhɪ̀ɬ,apache (western),black
GOOD,tIS,dił,apache (western),blood
GOOD,djE&+_'I,ję́ę́ʼi,apache (western),blue jay
GOOD,tsI&na'ESI+,tsinaʼeełí,apache (western),boat
GOOD,naStsh~o_s,nałtsoos,apache (western),book/paper
GOOD,tsE-h~ntxo+',tsénchóʼ,apache (western),boulder
GOOD,ISth~I&+'tsh~I&+H,iłtį́ʼtsį́h,apache (western),bow
GOOD,pItIth~lIt,biditlid,apache (western),brand
GOOD,th~a+wo-x,táwosh,apache (western),bubble
GOOD,to_lE+,doolé,apache (western),butterly
GOOD,nkh~EkoXEn'a&+a&+ko,nkegohenʼą́ą́go,apache (western),calm
GOOD,tE'toldjE+_t,deʼdoljééd,apache (western),campfire
GOOD,hI-Swo+_j,hilwozh,apache (western),canyon
GOOD,ISth~I+'kh~e_,iłdíʼgee,apache (western),center
GOOD,ko-tx!I-th~a-S,gochʼitał,apache (western),ceremony
GOOD,SEt'e_x,łetʼeesh,apache (western),charcoal
GOOD,nant'a+n,nantʼán,apache (western),chief/boss/king
GOOD,na+konEtx'I_tI,nágonechʼiidi,apache (western),cicada
GOOD,natIk'a&,nadikʼą,apache (western),cloth
GOOD,tutISHISI,tudiłhiłi,apache (western),coffee
GOOD,nata&+,nadą́ʼ,apache (western),corn
GOOD,mpa+,mbá,apache (western),coyote
GOOD,ka_kE+,gaagé,apache (western),crow
GOOD,nyE+_,nyeeʼ,apache (western),difficult
GOOD,na_l'E_SI+,naalʼeełí,apache (western),duck animal
GOOD,dja_sI+la+xa+,jaasíláhá,apache (western),earings
GOOD,yIya&_,yiyąą,apache (western),eat
GOOD,o&+'a+_,ǫ́ʼáá,apache (western),evening
GOOD,th~'a_h,tʼaah,apache (western),father
GOOD,So+k,łóg,apache (western),fish
GOOD,tI&+_'I,dį́į́'i,apache (western),four
GOOD,Ga,gha,apache (western),fox
GOOD,tlo&'ixtSh~oHE+,dlǫʼishtłohé,apache (western),frog
GOOD,'I-Ga-_,ighaa,apache (western),fur
GOOD,yo+_sn,yóósn,apache (western),god
GOOD,na'ItS'I+_kI+,naʼitłʼíígí,apache (western),gopher
GOOD,na-'txh~a-kI-,naʼchagi,apache (western),grasshopper
GOOD,SIpa+_'I+,łibáá’í,apache (western),gray
GOOD,toth~S'IjIHI+_,dotłʼizhihíí,apache (western),green/blue
GOOD,yItIts'I&H,yidits’įh,apache (western),hear
GOOD,o'I'a+n,oʼiʼán,apache (western),hole
GOOD,kowa&H,gowąh,apache (western),home
GOOD,taHa,daha,apache (western),hurry
GOOD,th~apa&_jIte,taba̜a̜zhide,apache (western),kingfisher
GOOD,pE+x,besh,apache (western),knife
GOOD,na'Ixo&+',naʼishǫ́ʼ,apache (western),lizard
GOOD,ntEE+n,ndeeń,apache (western),man
GOOD,IzE+,izee,apache (western),medicine
GOOD,nataH,nadah,apache (western),mescal
GOOD,tS'e+'kona'a+I+,tłʼéʼgonaʼáí,apache (western),moon
GOOD,pa&_,bąą,apache (western),mother
GOOD,tsIS,dził,apache (western),mountain
GOOD,Ith~'ox,itʼoh,apache (western),nest
GOOD,sa+_nts'o&+sE,sáánts’ǫ́sé,apache (western),new moon
GOOD,toHath~'e_ta,dohatʼeeda,apache (western),nothing
GOOD,tSh~a+t,tłád,apache (western),oil
GOOD,taSaa+,dałaá,apache (western),one
GOOD,E'Ilza_,eʼilzaa,apache (western),picture
GOOD,kozs'a+_ke,gozsʼa̜a̜ge,apache (western),place
GOOD,tS!ox,tłʼoh,apache (western),plants
GOOD,tahszI+nE+,dahszíné,apache (western),porcupine
GOOD,'okh~a&_XI+,ʼokąąhí,apache (western),prayer
