word,translation,pronunciation
awesome,නියමයි,niy(u+)mu+i
cool,කලබල නැති,k(u+)lu+bu+lu+na+ci
hello,ආයුබෝවන්,aayu+buv(u+)n
hi,ආයුබෝවන්,aayu+buv(u+)n
bye,ටාටා,caacaa
don't,එපා,a+paa
great,විශිෂ්ටයි,vitxixt(u+)i
amazing,පුදුමයි,pu+d(u+)mu+i
unbelievable,විශ්වාස කරන්නත් බෑ,vixvaatx(u+) ku+ru+n+u+ be+
all,ඔක්කොම,ok+um(u+)
every,සෑම,sa+m(u+)
each,එක් එක්,a+k a+k
some,ඇතැම්,a+ca+m(u+)
many,බොහෝ,boh(u)
much,හුඟක්,hu+ng(u+)k
most,බොහෝ,boh(u)
few,ස්වල්ප,sv(u+)lpu+
least,ඉතා සුළු,icaa su+l(u+)
greatest,විශාලතම,vixaal(u+)cu+mu+
eventually,අවසානයේදී,u+v(u+)saanu+ye+dee
often,බොහෝ විට,boh(u) vitu+
soon,ඉක්මනින්,ik+m(u+)nin
maybe,සමහරවිට,s(u+)mah(u+)ru+vitu+
potentially,විභව්,vib(u+)vu+taayu+
possibly,කොහොමවත්,kohom(u+)vu+c
probably,පෙනෙන හැටියට,pa+na+n(u+) ka+tiyu+tu+
and,සහ,s(u+)ku+
or,හෝ,h(u)
if,යම් හෙයකින්,y(u+)m ha+yukin
in,ගැන,ga+n(u+)
of,ගෙන්,ga+n
to,හට,h(u+)tu+
with,සමඟ,s(u+)mu+ku+
for,සඳහා,s(u+)du+kaa
not,නැත,na+c(u+)
but,එහෙත්,a+ka+n
although,එසේ වුවත්,a+se+ vu+v(u+)c
always,නිතර,nic(u+)ru+
the,එම,a+m(u+)
that,අරක,u+r(u+)ku+
this,මේක,me+k(u+)
these,මේවා,me+vaa
those,ඒවා,e+vaa
who,කවුද,ku+vu+d(u+)
what,මොකක්ද,mok(u+)kdu+
when,කවදා,k(u+)vu+daa
where,කොතැන,koca+n(u+)
why,ඇයි,a+(i)
how,කොහොම,kohom(u+)
I,මම,m(u+)mu+
you,ඔබ,ob(u+)
me,මා,maa
they,ඔවුන්,ov(u+)n
them,ඔවුන්ට,ov(u+)ntu+
him,ඔහුට,ohu+t(u+)
her,ඇගේ,a+ge+
he,ඔහු,oh(u+)
she,ඇය,a+i
we,අපි,(u+)pi
us,අප,(u+)pu+
first,පළමු,p(u+)lu+mu+
second,දෙවන,da+v(u+)nu+
third,තුන්වැනි,cu+nva+n(i)
fourth,සිවුවන,siv(u+)vu+nu+
fifth,පස්වෙනි,p(u+)sva+ni
sixth,හයවෙනි,h(u+)yu+va+ni
seventh,හත්වැනි,h(u+)cva+ni
eighth,අටවැනි,(u+)tu+va+ni
nineth,නවවැනි,n(u+)vu+va+ni
tenth,දසවෙනි,d(u+)su+va+ni
hundred,සියය,seey(u+)i
thousand,දහස,d(u+)hu+su+
million,මිලියනය,mil+iy(u+)nu+i
billion,බිලියනය,bil+iy(u+)nu+i
could,පුළුවන් වුණා,pu+lu+v(u+)n vu+naa
would,කැමති,ka+ma+c(i)
should,කළ යුතුය,k(u+)lu+ yu+cu+i
eternal,අනන්ත,u+n(u+)ncu+
finite,සීමිත,seem(i)cu+
