word,translation,pronunciation
awesome,مدهش,modhixon
cool,رائع,raa'ig+on
hello,مرحبا,marhhabe+n
hi,أهلا,e+hle+n
bye,مع السلامة,me+g+e+s(e+)le+e+me+ti
don't,لا تفعل,le+ tefg+el
great,عظيم,g+adhiimon
amazing,مذهل,moc+hilon
unbelievable,لا يصدّق,le+ yos+ad(a)k+u
all,جميع,je+m+iig+on
every,كل,k(o)lon
each,كل,kol(o)n
some,بعض,bag+c+~on
many,عديد,g+e+diidon
much,كثيرا,ke+ciire+n
most,معظم,m+og+ac+~(a)mon
few,بضعة,bic+~g+e+ton
least,أقلّ,'ak+alu
greatest,أعظم,'ag+c+~amo
eventually,في نهاية المطاف,finihe+e+ye+tilmat~aafi
often,كثيرا ما,ke+ciire+nme+e+
soon,قريبا,k+aribe+n
maybe,ربّما,rob(e+)me+e+
potentially,يحتمل أن يكون,yohhte+me+lo'e+nye+koone+
possibly,من المحتمل,mine+lmo+hhte+me+li
probably,على الأرجح,g+e+le+'e+le+rje+hhi
and,و,we+
or,أو,'e+w
if,إذا,'ic+e+e+
in,في,fii
of,من,mine+
to,إلى,'ile+e+
with,مع,me+g+e+
for,ل,li
not,ليس,le+yse+
but,لكن,le+kin
although,رغم,rak+me+
always,دائما,de+e+'ime+n
that,الذي,'e+l(e+)c+ii
this,هذا,he+c+e+e+
these,تلك,tilke+
those,هؤلاء,he+e+'o+le+e+'i
who,من,me+n
what,ماذا,me+e+c+e+e+
when,متى,me+te+e+
where,أين,'e+yne+
why,لم,lime+
how,كيف,ke+yfe+
I,أنا,'e+ne+e+
you,أنت,'e+nte+
me,أنا,'e+ne+e+
they,هم,hom
them,هم,hom
him,هو,howe
her,هي,hiye+
he,هو,howe+
she,هي,hiye+
we,نحن,ne+hhno
us,نحن,ne+hhno
first,الأوّل,'le+wwe+lo
second,الثاني,'e+cce+nii
third,الثالث,'e+cce+lico
fourth,الرّابع,'e+rrabig+o
fifth,الخامس,''e+lh+amiso
sixth,السّادس,'e+sse+diso
seventh,السّابع,'e+sse+big+o
eighth,الّثامن,'e+cce+mino
nineth,التّاسع,'e+tte+sig+o
tenth,العاشر,'e+lg+e+xiro
hundred,مائة,mi'e+ton
thousand,ألف,'e+lfon
million,مليون,me+lyoonon
billion,مليار,milye+e+ron
could,يمكن أن,yomkino'e+n
would,سوف,se+wfe+
should,يجب أن,ye+jibo
eternal,أزلي,'e+ze+l(i)yon
finite,متناه,mote+ne+e+hin
up,فوق,fe+wk+a
down,تحت,te+hhte+
left,على اليسار,g+e+le+lye+se+e+ri
right,على اليمين,g+e+le+lye+miini
top,أعلى,'e+g+le+e+
bottom,أسفل,'e+sfe+le+
at,عند,g+inde+
while,عندما,g+inde+me+e+
during,حينما,hhine+me+e+
over,على,g+e+le+e+
above,أعلاه,'e+g+le+e+ho
below,أسفله,'e+sfe+le+ho
before,قبل,k+able+
after,بعد,be+g+de+
between,بين,be+yne+
inside,داخل,de+e+h+ile+
outside,خارج,h+aarije+
around,حول,hhe+wle+
old,قديم,kadiimon
new,جديد,je+diidon
ahead,مقبلة,mok+bile+ton
alone,وحيد,we+hhiidon
together,معا,me+g+e+n
behind,وراء,we+raa'e+
in front of,أمام,'e+me+e+me+
rough,صعب,s+ag+bon
smooth,سلس,se+lison
sharp,حاد,hhe+e+d(o)n
dull,مملّ,momill(o)n
thin,رقيق,rak+iik+on
thick,سميك,se+miikon
cool,بارد,be+e+ridon
warm,دافئ,de+e+fi'on
available,متوفّر,mote+we+ffiron
unavailable,غير متوفّر,k+ayro mote+w(e+)ffirin
average,متوسّط,mote+w(e+)sit~on
away,بعيدا,be+g+iide+n
near,قرب,k+orbe+
super,جدّا,jid(e+)n
backward,إلى الوراء,'ile+lweraa'i
forward,إلى الأمام,'ile+le+me+e+mi
big,كبير,ke+biiron
small,صغير,s+ak+iiron
heavy,ثقيل,the+k+iilon
light,خفيف,h+e+fiifon
round,دائري,de+e+'iroyon
straight,مستقيم,moste+k+iimon
curved,مقوّس,mok+aw(i)son
jagged,متعرّجة,mote+g+e+r(i)je+ton
advanced,متقدّم,mote+k+(a)dimon
almost,تقريبا,te+k+riiban
simple,بسيط,be+siit~on
complex,مركّب,more+k(e+)bon
difficult,صعب,s+ag+bon
easy,سهل,se+hlon
fast,سريع,se+riig+on
slow,بطيء,bat~ii'on
normal,عاديّ,g+e+e+diy(o)n
unique,فريد,fe+riidon
bright,مضيء,moc+~ii'on
dim,خافت,h+aafiton
capable,قادر,k+aadiron
certain,متيقّن,mote+ye+k+(i)non
clean,نظيف,nac+~iifon
dirty,متّسخ,mot(e+)sih+on
nice,جميل,je+miilon
mean,منحطّ,monhhat~(o)n
good,جيّد,je+y(i)don
bad,سيّء,se+y(i)'on
positive,إيجابي,iije+e+biy(o)n
negative,سلبي,se+lbiy(o)n
clever,فطن,fatinon
ignorant,جاهل,je+e+hilon
thoughtful,مدروس,me+drooson
passionate,شغوف,xek+oofon
interesting,مهمّ,mohim(o)n
exciting,مثير,mociiron
contageous,معد,mog+din
special,فريد,fe+ridon
creative,خلّاق,h+al(e+)k+on
engaging,جذاب,je+c+(e+)bon
cool,رائع,raa'ig+on
dark,مظلم,moc+~limon
deep,عميق,g+e+miik+on
shallow,سطحي,sathhiy(o)n
different,مختلف,moh+te+lifon
similar,مماثل,mome+cilon
diffuse,منتشر,monte+xiron
doubtful,مشكوك,me+xkookon
certain,متيقّن,mote+yak+(i)non
dry,جافّ,je+e+f(o)n
wet,رطب,rat~bon
subtle,خفيّ,h+afiy(o)n
obvious,ظاهر,c+~aahiron
flat,مسطّح,mosat~(a)hhon
empty,فارغ,fe+rik+on
full,مليء,me+li'on
right,صحيح,s+ahhiihhon
wrong,خاطئ,h+aat~i'on
stiff,متصلّب,mote+s+al(i)bon
flexible,مرن,me+rinon
elegant,أنيق,'e+niik+on
long,طويل,t~awiilon
short,قصير,k+as+iiron
electric,كهربائي,ke+hre+be+e+'iy(o)n
fixed/static,ثابت,ce+e+biton
dynamic,ديناميكي,diinamiikiy(o)n
end,نهاية,nihe+e+ye+ton
start/beginning,بداية,bide+ye+ton
middle,وسط,we+se+ton
enjoyable,ممتع,momtig+on
loose,فضفاض,fe+c+~fe+e+c+~on
expected,متوقّع,mote+w(a)k+ag+on
surprising,مفاجئ,mofe+e+ji'on
exhalted,ممجّد,mome+j(e+)don
external,خارجي,h+aarijiy(o)n
internal,داخلي,de+e+h+iliy(o)n
false,خاطئ,h+aat~i'on
true,صحيح,s+ahhiihhon
standard,قياسي,k+iye+e+siy(o)n
fake,مزوّر,moze+w(e+)ron
synthetic,تأليفي,te+'liifiy(o)n
natural,طبيعي,t~abiig+iy(o)n
strong,قوي,k+awiy(o)n
weak,ضعيف,c+~ag+iifon
fluent,طليق,t~aliik+on
novice,مبتدئ,mobte+di'on
edible,صالح للأكل,s+alihhon lil'e+kli
inedible,غير صالح للأكل,k+ayro s+alihhin lil'e+kli
lost,ضائع,c+~aa'ig+on
found,عثر عليه,g+ocira g+e+le+yhi
fragile,هشّ,he+x(o)n
firm,راسخ,raasih+on
free,حرّ,hhor(o)n
fresh,منعش,mong+ixon
friendly/kind,ودود,we+doodon
funny,مضحك,moc+~hhikon
fuzzy,غائم,k+aa'imon
fuzzy,غامض,k+aamic+~on
generic,عام,g+e+e+m(o)n
specific,محدّد,mohhad(e+)don
helpful,مساعد,mose+e+g+idon
hurtful,مؤلم,mo'limon
graceful,لبق,le+bik+on
casual,عارض,g+e+e+ric+~on
formal,رسميّ,rasmiy(o)n
tight,ضيّّّق,c+~ay(i)k+on
hairy,كثير الشعر,ke+ciirox(a)g+ri
hairless,أصلع,'aslag+on
happy,سعيد,se+g+iidon
sad,حزين,hhe+ziinon
angry,غاضب,k+aac+~ibon
confused,حائر,hhe+'iron
patient,صبور,s+abooron
calm,هادئ,he+e+di'on
wild,جامح,je+e+mihhon
